name,rating,date,sentiment,Scores,comment
Aboualex,3.0 out of 5 stars,"Reviewed in the United States on February 11, 2024",Negative,"{'Negative': 0.6246873, 'Neutral': 0.31011096, 'Positive': 0.06520177}",I would like a replacement..I am ok with the phone even though it is less than I expected..The phone freezes while downloading something that I did not ask for..I have to force shut down then restart.Please advise
Long time Customer,5.0 out of 5 stars,"Reviewed in the United States on February 15, 2024",Positive,"{'Negative': 0.0016049788, 'Neutral': 0.014200901, 'Positive': 0.9841941}",Great phone and the delivery was quick. I recommend buying from this seller.
Miguel Zamora,5.0 out of 5 stars,"Reviewed in the United States on February 17, 2024",Neutral,"{'Negative': 0.040927842, 'Neutral': 0.5279278, 'Positive': 0.43114436}",It is all what I was waiting
Amazon Customer,3.0 out of 5 stars,"Reviewed in the United States on February 6, 2024",Negative,"{'Negative': 0.736653, 'Neutral': 0.2197102, 'Positive': 0.043636773}","Well after investigating more. Yes, you get your gift card. You have to choose to buy something that SELLS and SHIPS from amazon.Phone does get hot and really hate that it dont come with a charger."
Ernest ST.,5.0 out of 5 stars,"Reviewed in the United States on February 17, 2024",Positive,"{'Negative': 0.0023867502, 'Neutral': 0.013875524, 'Positive': 0.9837377}",What a great phone
jamir,5.0 out of 5 stars,"Reviewed in the United States on February 14, 2024",Positive,"{'Negative': 0.0017729497, 'Neutral': 0.00842139, 'Positive': 0.9898057}",S24 came thank you Amazon the phone is amazing ING
Stanislav,5.0 out of 5 stars,"Reviewed in the United States on February 15, 2024",Positive,"{'Negative': 0.0018571481, 'Neutral': 0.0066411453, 'Positive': 0.9915017}",this is the best phone I've ever had
Excelente producto calidad precio,5.0 out of 5 stars,"Reviewed in the United States on February 13, 2024",Neutral,"{'Negative': 0.096409224, 'Neutral': 0.8333257, 'Positive': 0.07026507}",Un telefono q vale la Pena tenerlo
Luis,5.0 out of 5 stars,"Reviewed in the United States on February 16, 2024",Positive,"{'Negative': 0.0026136527, 'Neutral': 0.017225811, 'Positive': 0.98016053}",Beautiful phone and arrived as expected
José David maña quesada,5.0 out of 5 stars,"Reviewed in the United States on February 6, 2024",Neutral,"{'Negative': 0.14478795, 'Neutral': 0.7752541, 'Positive': 0.07995798}","Todo bien por el momento,no trae golpes teléfono en óptimas condiciones, muy bien"
santi,5.0 out of 5 stars,"Reviewed in the United States on February 11, 2024",Positive,"{'Negative': 0.011220935, 'Neutral': 0.1326528, 'Positive': 0.8561263}",Just what I wanted it. Fast shipping.
Mandeep Singh,5.0 out of 5 stars,"Reviewed in the United States on February 1, 2024",Positive,"{'Negative': 0.0022204798, 'Neutral': 0.15884915, 'Positive': 0.83893037}",Worth upgrading my S22 ultra to S24 Ultra with new chip and AI features. Flat screen better screen to body ratio and titanium shell.
Hayko,5.0 out of 5 stars,"Reviewed in the United States on February 15, 2024",Positive,"{'Negative': 0.003516076, 'Neutral': 0.03448778, 'Positive': 0.96199614}",Extremely satisfied!
jenben,5.0 out of 5 stars,"Reviewed in the United States on February 6, 2024",Positive,"{'Negative': 0.0013859188, 'Neutral': 0.0069406494, 'Positive': 0.9916734}",I love this phone. Perfect size for my perfect sized (medium 😉) sized fingers.
RDM08121980,5.0 out of 5 stars,"Reviewed in the United States on February 9, 2024",Positive,"{'Negative': 0.0034628317, 'Neutral': 0.018133622, 'Positive': 0.97840357}",Awesome phone. Much better than S22 Ultra
Roland,5.0 out of 5 stars,"Reviewed in the United States on February 5, 2024",Positive,"{'Negative': 0.015193689, 'Neutral': 0.03707838, 'Positive': 0.9477279}",I don't get all the negative reviews.  This phone is fantastic!
AConsumer,5.0 out of 5 stars,"Reviewed in the United States on February 1, 2024",Positive,"{'Negative': 0.001972629, 'Neutral': 0.023379447, 'Positive': 0.974648}",Coming from using an iPhone 14 pro the galaxy s24 plus just blows iPhone outta the water. It's impressive
Simon Gutierrez,5.0 out of 5 stars,"Reviewed in the United States on February 4, 2024",Positive,"{'Negative': 0.0016348291, 'Neutral': 0.03151722, 'Positive': 0.96684796}",Swapped from the s22 ultra and this is definitely worth it
Fabian,5.0 out of 5 stars,"Reviewed in the United States on February 3, 2024",Neutral,"{'Negative': 0.056855958, 'Neutral': 0.8346083, 'Positive': 0.108535826}",Es mi primer día usando el teléfono pero ya me a encantado
Josë Rivera,5.0 out of 5 stars,"Reviewed in the United States on February 11, 2024",Neutral,"{'Negative': 0.11495546, 'Neutral': 0.6271784, 'Positive': 0.25786614}",Excelente
EVGENY N.,5.0 out of 5 stars,"Reviewed in the United States on February 6, 2024",Positive,"{'Negative': 0.002838869, 'Neutral': 0.016072717, 'Positive': 0.9810884}",Good phone. i like it.
Richard,5.0 out of 5 stars,"Reviewed in the United States on February 4, 2024",Neutral,"{'Negative': 0.1950384, 'Neutral': 0.76274073, 'Positive': 0.042220917}",Sound is off the chart Camara as well
Dante Sánchez,5.0 out of 5 stars,"Reviewed in the United States on February 8, 2024",Neutral,"{'Negative': 0.0313581, 'Neutral': 0.6968697, 'Positive': 0.27177224}",Todo excelente
Baat,2.0 out of 5 stars,"Reviewed in the United States on February 9, 2024",Negative,"{'Negative': 0.6935143, 'Neutral': 0.22846968, 'Positive': 0.078016005}","This S24 ultra is my 6th Samsung galaxy phone.As a big fan of Samsung, I pre ordered this S24 ultra phone.I couldn't understand why Samsung would make a flagship phone like this one. Unbelievable!>>>The screen has dull colors, poor saturation, and cannot be adjusted.  I once wondered if I had cataracts in my eyes.  But when I get back to my S21 , my eyes feel much more comfortable and relaxed.>>>The camera doesn't focus !Isn’t Samsung famous for its high-definition cameras?But this S24 ultra just can make your pictures blurred with the terrible post processing but can't avoid. I even couldn't take a normal clear picture in a  A4 paper schedule.Will Samsung fix this problem through software?Otherwise I might have to return it."
T. Harmon,5.0 out of 5 stars,"Reviewed in the United States on February 6, 2024",Neutral,"{'Negative': 0.1535221, 'Neutral': 0.6182859, 'Positive': 0.22819197}",Get this phone.
erika,5.0 out of 5 stars,"Reviewed in the United States on February 9, 2024",Neutral,"{'Negative': 0.07041481, 'Neutral': 0.7762607, 'Positive': 0.1533245}","The media could not be loaded.Tengo el S 23 ultra, y lo cambie porque se me había roto la pantalla y necesitaba un telefono a prueba de humedad, quedé muy satisfecha con la compra, el teléfono se siente más ligero, el color es muy bonito y es diferente en muchas cosas al S 23 ultra, aunque en muchas cosas son muy similares, me gustó la pantalla plana, espero tener más suerte con este tipo de pantallas, ya que siempre se me rompen."
Segovia,5.0 out of 5 stars,"Reviewed in the United States on January 31, 2024",Neutral,"{'Negative': 0.038151674, 'Neutral': 0.7099751, 'Positive': 0.25187317}",Llego intacto el producto recomendable
Haden,2.0 out of 5 stars,"Reviewed in the United States on February 12, 2024",Positive,"{'Negative': 0.0037838842, 'Neutral': 0.019296078, 'Positive': 0.97692}",This is one of the nicest phones I’ve had. I am not a fan of the size of it as I am used to having smaller phones. The phone is very easy to use and there is easy to follow instructions to get it set up and running. I have owned two Samsungs and 2 iPhones and I will say that after using both I like Samsung better. They have elite camera quality and offer features unlike any other brand of phond
D Clement,1.0 out of 5 stars,"Reviewed in the United States on February 4, 2024",Neutral,"{'Negative': 0.34559074, 'Neutral': 0.3958618, 'Positive': 0.25854743}","02-12-24 NEW UPDATE.  Samsung customer service now says a fix IS coming however this was verbal from a REP, nothing official like what Samsung Spain had put out. At this point, I don;t know what to think. IF IF IF a fix is coming, then the phone will be GREAT. If no fix is provided, this will go down in Samsung history as one of their worst screwups ever and it WILL cost them a lot of loyal customers. i am REALLY on the fence about sending these back (We purchased two of them) UPDATE 02-05-23- ""Samsung Spain"" released a statement on 02-04-2024 saying Samsung has NO INTENTION of fixing the screen color problem, the dull non vivid screen colors are BY DESIGN.. The VIVID color is basically disconnected. This screen is washed out. Colors are dull and screen does not pop. The My old S21FE has a screen 10x better than this new phone. Samsung says it is a glitch in the software however there is NO FIX as of now (Feb 4th). If no update or fix is provided in the next two weeks, I will return the phone. IF a fix is provided, I will update my review to 5 stars. The PURPLE color is really quite nice. It is darker than the photos and a very pleasing shade, not loud and obnoxious at all."
Eric Formato,2.0 out of 5 stars,"Reviewed in the United States on February 10, 2024",Negative,"{'Negative': 0.8997336, 'Neutral': 0.08309459, 'Positive': 0.017171783}","I hate to say it but... The screen on my $250 dollar Samsung A53 is brighter, has more contrast, and more saturated.... What is going on? How is it possible that a $1,500 dollar phone is worse in the screen department? Can confirm that the screen is disappointing. I'm jumping ship for One Plus 12 for half the price and 80W charging... Sick of Samsung's bugs and overpaying for everything from phones to watches to earbuds."
theterminator27,1.0 out of 5 stars,"Reviewed in the United States on February 14, 2024",Negative,"{'Negative': 0.9488087, 'Neutral': 0.044152085, 'Positive': 0.0070391665}","Honestly, these guys have the audacity to raise prices on flagships for a screen like that?I bought the S24+ coming from an iPhone. You pay a LOT of money for a premium phone expecting everything, not to be perfect, but at least premium as well. Well, this screen is gross and horrible: a lot of color banding and graining on the screen. The colors are very off compared to other brands.Not to mention, compared to an IPhone, the speakers sound horrendous it’s like a 3$ Bluetooth speaker attached and not a premium phone’s speakers. Don’t get me started with the camera quality which is so disappointing because all these tech YouTubers do comparisons as if the photo is A-tier but it’s the same old bad android quality.Thanks Samsung for reminding why I left Samsung phones: you’re not the same but even worse since at the very least the old phones had headphone jacks and SD-card slots."
han jie deng,1.0 out of 5 stars,"Reviewed in the United States on February 5, 2024",Negative,"{'Negative': 0.8937397, 'Neutral': 0.08931841, 'Positive': 0.016941866}","The display looks horrible compared to my current s21. I was trasnfering files and testing apps with the s21 and I was baffled by how much better the screen looked on the s21!Terrible display aside, i never got the promised $150 egift card from the pre order promo. Contacted customer service mutiple times, and they said there's nothing they could do despite showing them the items that's still CURRENTLY offering a $150 egift card for the s24+.Never trusting any egift card promo from here on out."
Jacey E Roncali,1.0 out of 5 stars,"Reviewed in the United States on February 14, 2024",Negative,"{'Negative': 0.87189156, 'Neutral': 0.11814207, 'Positive': 0.0099663725}","This is not US compatible. We tried putting it on straight talk we tried getting a hold of straight talk themselves they could not activate it they said go to Walmart. Walmart said go back and talk to straight talk, and we put in as a complete new device rather than trying anymore to carry  over the phone number  and it says it is not compatible in the US."
Gradguy,1.0 out of 5 stars,"Reviewed in the United States on February 6, 2024",Neutral,"{'Negative': 0.32186893, 'Neutral': 0.35767233, 'Positive': 0.32045883}",Screen looks dull.  My Note 10 has a much better picture quality.  I will return if they don't roll out fix within my return period.Battery seems to be draining fast.  My 5 year old Note 10 that I have used and charged daily has less battery drain.No microsd card slot.So far this phone has been a downgrade.
Edison,1.0 out of 5 stars,"Reviewed in the United States on February 11, 2024",Neutral,"{'Negative': 0.098491706, 'Neutral': 0.79222137, 'Positive': 0.10928692}",es casi lo mismo desde el s21 ultra muy pocos cambios. La bateria necesita ser cargada varias veces en el día. La camara es incluso peor al momento que la de el s22 y s23 ultra. Y aun tiene mucho por arreglar en software. No aplica la tarjeta de regalo que ofrecen al momento de hacer la compra
Amazon Customer,1.0 out of 5 stars,"Reviewed in the United States on February 14, 2024",Negative,"{'Negative': 0.9652574, 'Neutral': 0.030810654, 'Positive': 0.003931952}","I really wanted to keep this phone, but I had a horrible experience with the changes Samsung  decided to make on this one ,display colors are really disappointing, very bad experience , I returned the phone right away, do not buy!  Stick to previous versions or wait for next generation"
Suzanne G.,1.0 out of 5 stars,"Reviewed in the United States on February 16, 2024",Negative,"{'Negative': 0.44209757, 'Neutral': 0.4384812, 'Positive': 0.11942116}",I have spent many hours trying to get service on the s24 ultra through Straight Talk and Verizon. In the end I am sending it back to Amazon and will buy directly from Verizon.
Francisco,1.0 out of 5 stars,"Reviewed in the United States on February 1, 2024",Neutral,"{'Negative': 0.019195475, 'Neutral': 0.74844307, 'Positive': 0.23236154}",Compre el Samsung galaxy s24 ultra de 512gb y decía que si lo compra antes del 30-01-24 me daban el doble de almacenamiento y trae solamente 512gb
lil Green guy is awesome!,1.0 out of 5 stars,"Reviewed in the United States on February 10, 2024",Negative,"{'Negative': 0.964883, 'Neutral': 0.030577086, 'Positive': 0.0045399503}","Unfortunately, my S24 Ultra has dull color.I paid $1200 for the 512GBEnergy consumption: worse than a Hummer."
SULAIKA TORRES,1.0 out of 5 stars,"Reviewed in the United States on February 5, 2024",Neutral,"{'Negative': 0.15642422, 'Neutral': 0.7669778, 'Positive': 0.07659794}","A solo dias de tenerlo no carga, y no me dio tiempo de borrar mi información del teléfono antes de devolverlo."
Lucky,1.0 out of 5 stars,"Reviewed in the United States on February 8, 2024",Negative,"{'Negative': 0.9224418, 'Neutral': 0.07230409, 'Positive': 0.0052542156}","To the person who posted that review, no, it didn't work for me. Never got the gift card they promised."
V,1.0 out of 5 stars,"Reviewed in the United States on February 6, 2024",Neutral,"{'Negative': 0.059378527, 'Neutral': 0.6942543, 'Positive': 0.24636714}","After a few days of regular use, a line appeared across the screen. Never dropped it, no damage."
kenmei,1.0 out of 5 stars,"Reviewed in the United States on February 1, 2024",Positive,"{'Negative': 0.16485228, 'Neutral': 0.3552224, 'Positive': 0.47992533}",Haven't use Samsung s series for a while can't believe it come with no charger and as hot as s9
Robert minaya,1.0 out of 5 stars,"Reviewed in the United States on February 8, 2024",Neutral,"{'Negative': 0.36086035, 'Neutral': 0.5756737, 'Positive': 0.063465945}",The media could not be loaded.Compre el artículo en pre orden y decia que si comproba me daría el doble de almacenamiento pero es mentira.Fue solo para que compráramos.
Helo,1.0 out of 5 stars,"Reviewed in the United States on February 2, 2024",Negative,"{'Negative': 0.9530092, 'Neutral': 0.04229856, 'Positive': 0.0046922085}",amazon has not provided the promotional credit. phone is also horrible.
Puff,1.0 out of 5 stars,"Reviewed in the United States on February 12, 2024",Neutral,"{'Negative': 0.4589748, 'Neutral': 0.45958292, 'Positive': 0.0814423}",pointless
friezer,4.0 out of 5 stars,"Reviewed in the United States on February 9, 2024",Positive,"{'Negative': 0.011466494, 'Neutral': 0.10074813, 'Positive': 0.88778543}","Pre-ordered the S24 Ultra via AT&T to upgrade from a Samsung S20 FE.  The S24 Ultra is a behemoth in every sense of that word - features and weight.  My advice is to get it IF you have a reason to have the features unique to it.  Otherwise, there are lighter weight and smaller phones that are more comfortable to use daily -- and I say that as a male who is over 6'5"", with hands that match my height. The Samsung S24 Plus comes to mind.I am keeping the S24 UItra because of my interest in photography (this phone has a macro feature, AF on its ultrawide lens, and greater telephoto abilities than the S24 Plus) and my use of the S Pen.  Photos are excellent, including at 5x zoom.  The screen brightness, resolution and anti-glare features are great.  The S Pen allows me to make precise choices on the screen for a variety of uses.  The battery easily lasts all day with moderate use.My only big knock is the weight of the phone.  Just too much.  Smaller issue -the sharp edges, but I am no longer really noticing it after two weeks."
JoHn,3.0 out of 5 stars,"Reviewed in the United States on February 1, 2024",Negative,"{'Negative': 0.38035908, 'Neutral': 0.33503383, 'Positive': 0.28460705}","Let me cut it short for you, if you already have the S23 ultra, or S22 Ultra, there is absolutely no reason for you to upgrade to this one, both phones are almost identical despite all the YouTube videos that want you to think otherwise!The AI gimmick that's all over the internet isn't really integrated into everyday use as expected either so that was not a plus point.The battery quickly learned my patterns and got better after a few days of use,but still not enough for a full day.The processor is amazing and everything runs so smoothly all day long, from productivity apps to games, with its amazing screen, everything just looks better on this phone. The colors do seem a bit washed out on this screen vs the S23 ultra, but Samsung is saying there will be a fix for this.The only disappointment, and the reason why I won't keep that phone, are the cameras.The selfie camera is a disappointment both indoor and, surprisingly, even outdoor it was not good.I had a family event and was too excited to use that big Main camera for all the shots, but I was left disappointed with the performance compared to the iPhone. The low light pictures were not good at all, while pictures with enough light were good, but nothing special. I can't even start to compare this camera to the Google Pixel lines, not even close!Bottom line, you'll get a great daily performance with a good camera and beautiful screen, but I would wait until the price goes down a bit."
Raul,3.0 out of 5 stars,"Reviewed in the United States on February 17, 2024",Positive,"{'Negative': 0.05288564, 'Neutral': 0.15542929, 'Positive': 0.7916851}","I like the cell phone, what I don't like are the colors of the screen, especially in vivid colors, compared to my S21 plus, my S21 plus has much better tones, I hope they can solve it with the first update they have, the photos are the same The ones on my S21 plus make me much better"
NutnSpcl,3.0 out of 5 stars,"Reviewed in the United States on February 12, 2024",Neutral,"{'Negative': 0.32732362, 'Neutral': 0.45036545, 'Positive': 0.22231087}","If you own an older model of this phone, like the S21, do not buy ithe S24.  IMO, it is too small.  Buy the S24+ instead.  You will be glad you did."
Mark Brown,5.0 out of 5 stars,"Reviewed in the United States on February 8, 2024",Positive,"{'Negative': 0.023401566, 'Neutral': 0.15298389, 'Positive': 0.82361454}","The Galaxy S23 Plus was a phone I really liked, but I wasn’t sure who to recommend it to. The Galaxy S24 Plus is another great smartphone from Samsung, and this time around, it makes a lot more sense.If you’re in the market for a big Samsung phone, the S24 Plus would be my personal recommendation over the S24 Ultra. The hardware is top-tier, the screen is almost every bit as good, the performance is great, the battery life is outstanding, and — if you care about them — you get all of the same Galaxy AI features. The only differences between the S24 Plus and the S24 Ultra are the improved camera system and the S Pen. But is that really worth an extra $300? I certainly don’t think so. The Galaxy S24 Ultra is a fantastic smartphone and one of the best you can buy in 2024. But it’s also $1,300.  There’s also the OnePlus 12 to consider, which delivers similarly great performance and battery life for $800. It’s a great package, but you also have to deal with a curved screen, a lower IP rating, no AI tricks, and fewer software updates. The regular Galaxy S24 shares many of the S24 Plus’ great qualities for the same $800 price, but you’ll need to put up with a smaller screen, lesser battery life, and slower charging.You have a lot of options to consider against the Galaxy S24 Plus, as is the case when you’re looking to buy any smartphone. But each alternative to the S24 Plus also has its own share of compromises. If the Galaxy S24 Plus’ strong suits line up with what you prioritize in a phone — hardware, display, performance, and battery life — I can’t recommend it enough."
Audisarefun,5.0 out of 5 stars,"Reviewed in the United States on February 7, 2024",Positive,"{'Negative': 0.025749391, 'Neutral': 0.14425412, 'Positive': 0.82999647}","Overall the s24 ultra 5G is the best phone I have ever owned, I bought 2 phones the purple color and the gold color, the purple one is not a cristal color or metalic purple but it looks purple.  The gold color looks amazing,  it looks like real gold. As far as battery life it meets and exceeds my expectations I can go all day and about the time I go to bed usually around 9 pm I can still have a 40 percent of battery life remaining.The screen looks brighter on sunny days with is an improvement compared to my s21 ultra 5G.The speakers sound awesome,  very clear and loud.The antenna or antennas on the s24 ultra we're also improved,  I can get a better reception and better download speeds, the phone transitions very smooth between 5g and 4g lte when 5 g is not strong enough or when there is no 5g connectivity.Let's not forget about the s pen, it is a multifunction pen, to be used to take pictures with it and by the way they look beautiful with some improvements on the camera. The s pen has a few other features that can be used to do a power point presentation and a few more things we can do with the s pen.I do understand that for 1400 dollars phone it should come with a complete charger and not just the charging cable.I do suspect that Samsung along with other manufacturers were limited to reduce the plastic usage and that could be the reason they did not include a brick charger. Assuming that previous galaxy fans would already have a brick charger.But I would of like to get a brick along with tye cable for that price. Unfortunately that was not the case.Luckily if you pre order your phone you could of got some goodies from Samsung like brick charger or cases or galaxy buds for free and or some smart watches/ galaxy buds/ tablet with a 150 dolar discount (credit)"
Tobey64,5.0 out of 5 stars,"Reviewed in the United States on February 12, 2024",Positive,"{'Negative': 0.015905743, 'Neutral': 0.06615985, 'Positive': 0.9179344}","An amazing phone but is over priced. I'm not sure and can't speak for all the negative reviews on this phone with the washed out screen because mine is bright and beautiful like all my Samsung phones have always been. The battery is incredible. I can get a day and a half of heavy use and 2 days light to moderate without turning on battery saver but of course there are task that IMO are a battery killer like Android Auto when I'm navigating and streaming music at the same time but that's going would be the case with any battery because Android auto runs a lot of apps in the background. This phone is ridiculously fast, never had a phone quite this fast even my S23 Ultra wasn't this fast. My only complaint because I didn't pre order and spent over 1500 dollars after tax and that's just crazy when you think about what that can get you with an actual computer that isn't out dated the moment you purchase. But yeah still I am very pleased with my new beast even though only had it for a couple of weeks so far. If you have the funds and your not like me and buy 6 phones a year I think you'll get more than your moneys worth cause Samsung's just last and last for many years. My wife had her S9+ for over 5 years and the one before that for 4 years and everything worked fine on them. Highly recommend this phone."
kristin,5.0 out of 5 stars,"Reviewed in the United States on February 12, 2024",Negative,"{'Negative': 0.45028517, 'Neutral': 0.34247738, 'Positive': 0.20723747}",I love the phone and I don't regret buying it. But I was sopose to recieve a $200 gift card and 3ven got an email stating that my purchase qualified for the $200 amazon gift card and it would be on my account... I still havnt gotten anything yet. That's pretty dissapointing . If anyone has received it can you let me know what to do to get it?
Kyle S,2.0 out of 5 stars,"Reviewed in the United States on February 17, 2024",Negative,"{'Negative': 0.92773885, 'Neutral': 0.061375063, 'Positive': 0.010886116}","Being a Samsung user for many years this is the worst series of Samsung phones I have ever seen. I bought the s24 ultra and the screen is super grainy Samsung refuses to do anything about it and it just straight up looks like crap. The screen is so dull and ugly looking nothing like older Samsungs in any way. It feels like a cheap $300 or less phone probably worse. And the camera is one of the worst I’ve seen from Samsung pictures are over processed and blurry and just straight up looks terrible. I don’t usually write reviews but after this experience, I have to prevent other people from falling into the same trap. If you have an older Samsung, just keep that you’ll be much better off and have a much better phone with a bunch of money in your pocket. This so-called flagship phone is nothing but a cheaply made phone with no quality control with a company that doesn’t stand behind anything they make all they’re worried about is their pockets."
Alex,2.0 out of 5 stars,"Reviewed in the United States on February 5, 2024",Neutral,"{'Negative': 0.24678674, 'Neutral': 0.38540077, 'Positive': 0.36781248}","Preamble: I currently own a Note 4, S4, S7, S8 and S20U. IMO, the S7 was the best camera for getting everything in focus with sharp details and excellent color fidelity and 4K videos are terrific. The S8 suffered from some weird video wobbles. The Note 4 was good in general, but the S7 really took the performance crown. Then came the S20U. Gorgeous display and had a SD Card slot. However, the camera was absolute and still is terrible. Can't focus on anything properly and wide shots were all bent at the edges.S24U Review starts now (I got mine early from t-mobile with build ending in: AWM9)Pros1. Flat Screen is absolutely perfect, no more rounded dust collecting edges and easier to apply tempered glass.2. Camera is superior compared to the S20U (well, any camera is...) and trades blows with the S7 and S8 and the macro camera on S24 helps with getting everything in focus and not just having the horrible higher DOF where most things are blurred out, so basically, you don't have to dance around to get everything in focus.3. It's fast.4. Still allows a nano sim card.5. Modes, I love this app, allows you to customize profiles for the phone based on your criteria and set it to run at a given time, like setting wallpaper, wifi on or off, screen color and blue light filter and so much more.Cons:1. Super AMOLED screen has been crippled to 85% DCI-P3. Looks like a cheap LCD screen. Vivid/Natural modes do nothing. Blue light filter makes it worse. Whites look bluish. It's like having a Ferrari and the manufacturer puts on governor on it because it goes to fast. It's a super amoled screen, give users the option of washed out, natural, vivid and ultra vivid, not just washed out.Don't take my word for it, go to your local carrier store and bring in your current Galaxy phone or just compare it to other phones in the store, it's that bad. If you have the S23U, it's not really an upgrade, it's more like a refresh that offers a flat display, but almost everything else is the same except for the washed out display and 10x optical dropped to 5x optical but with a higher resolution sensor.2. Camera doesn't take accurate colors, auto white balance doesn't work properly on macro shots.2. No charger (only a charging cable.)3. No SD Card slot.Notes:1. Forget about AI, between privacy and the fact they will be charging you for it at the end 2025, it's not worth. They are basically trying to get you hooked on it for a couple of years and then starting charging you for it once you rely on it. According to the Samsung product page: ""Galaxy AI features by Samsung will be provided for free until the end of 2025 on supported Samsung Galaxy devices.""2. 7 years of updates. Does that mean they allow you to change the battery during year 3 or 4? Of course not, and there's no battery service they offered either to make it last that long. It's a gimmick. Just like 10 year warranties on washing machines for the motor only, while everything breaks down before 10 years.3. I can't say if there's any detriment with the new AR glass, because the color saturation is so poor. If that's fixed, I'll update this review appropriately.4. I find my S20U gets brighter then the claimed max 2600 nits of this phone.Bottom line, I'm returning mine if Samsung doesn't fix the washed out display and the color issue on the camera. If they can fix that, it's a great phone, just don't get hooked on the AI unless you're willing to pay for it in the future.""The Dynamic AMOLED 2X display on Galaxy S24 Ultra received a certification from VDE Germany for 100 percent Mobile Color Volume in the DCI-P3 color range, which means your images aren’t washed out and you’ll get unbelievably vivid colors regardless of differing levels of brightness. The display can achieve peak brightness of up to 2600 nits, improving the contrast between dark and light aspects of digital content for a more brilliant picture quality, with a 5,000,000:1 contrast ratio to make your mobile experience more immersive. """""
Rbry Inc,5.0 out of 5 stars,"Reviewed in the United States on February 15, 2024",Positive,"{'Negative': 0.07982208, 'Neutral': 0.14947283, 'Positive': 0.77070504}",I love this phone.  No issues at all.  The fact that there are still some people complaining about no external memory card that has not been in a galaxy for years goes to show how valid some of the negative remarks are
Justin,5.0 out of 5 stars,"Reviewed in the United States on February 1, 2024",Positive,"{'Negative': 0.0013793749, 'Neutral': 0.0072255027, 'Positive': 0.9913952}",This phone is hands down the best smartphone thus far. It has the best of everything you need and more. The S24 Ultra is a BEAST!!
